Age,Education,Years Employed,Income,Debt,Defaulted,DebtIncomeRatio
32,1,1,20,0.96,1.0,4.8
27,3,2,26,1.56,0.0,6.0
40,1,9,64,4.224,0.0,6.6
50,1,11,36,1.728,0.0,4.8
39,1,17,60,8.219999999999999,0.0,13.7
34,1,18,34,5.236000000000001,0.0,15.4
36,1,18,67,7.504,0.0,11.2
44,2,18,74,9.916,0.0,13.4
24,2,4,20,0.74,0.0,3.7
31,1,8,44,3.5200000000000005,0.0,8.0
34,1,16,79,3.16,0.0,4.0
26,1,4,27,2.835,1.0,10.5
38,1,3,23,3.3810000000000002,0.0,14.7
24,1,3,14,2.254,1.0,16.1
30,3,8,61,1.708,0.0,2.8
40,4,5,75,1.425,0.0,1.9
30,2,12,98,7.056000000000001,0.0,7.2
25,2,5,42,6.51,0.0,15.5
29,1,9,33,1.584,0.0,4.8
33,1,5,18,2.322,0.0,12.9
43,1,8,45,1.4849999999999999,0.0,3.3
35,2,1,21,1.6589999999999998,0.0,7.9
41,2,21,145,17.689999999999998,0.0,12.2
46,2,18,55,2.42,0.0,4.4
33,1,12,68,7.343999999999999,0.0,10.8
30,3,0,65,19.305,1.0,29.7
40,3,18,157,10.362,0.0,6.6
38,1,1,42,3.822,0.0,9.1
49,2,11,51,7.65,0.0,15.0
26,1,0,15,0.81,0.0,5.4
22,4,0,25,3.0500000000000003,0.0,12.2
29,2,2,16,1.6800000000000002,0.0,10.5
28,2,8,31,2.542,1.0,8.2
23,4,0,32,5.888,1.0,18.4
37,2,11,75,2.625,0.0,3.5
35,2,5,33,0.9239999999999999,0.0,2.8
31,1,1,21,0.5249999999999999,1.0,2.5
29,1,1,20,3.7199999999999998,1.0,18.6
34,3,7,27,0.594,0.0,2.2
47,2,7,49,0.441,0.0,0.9
37,1,5,27,2.5380000000000003,0.0,9.4
38,1,10,34,0.408,0.0,1.2
32,2,5,28,4.144,1.0,14.8
22,3,0,20,0.9399999999999998,0.0,4.7
30,1,7,33,8.382,1.0,25.4
38,4,13,126,17.261999999999997,0.0,13.7
36,1,20,60,3.24,0.0,5.4
44,1,5,48,4.32,1.0,9.0
27,2,4,22,2.904,1.0,13.2
47,1,19,50,15.05,0.0,30.1
41,1,7,32,0.9279999999999999,0.0,2.9
25,1,8,27,3.888,0.0,14.4
33,2,10,54,1.62,0.0,3.0
42,3,13,82,2.706,0.0,3.3
36,1,14,53,3.021,0.0,5.7
25,4,0,32,5.632,0.0,17.6
30,1,10,39,3.705,0.0,9.5
24,1,0,16,2.5599999999999996,1.0,16.0
32,1,7,23,2.254,0.0,9.8
39,2,9,32,2.112,0.0,6.6
30,1,4,18,1.926,0.0,10.7
33,1,16,46,3.726,0.0,8.1
32,2,12,63,11.466000000000001,0.0,18.2
33,1,7,26,1.5599999999999998,0.0,6.0
29,2,6,21,2.415,0.0,11.5
28,2,5,37,3.071,0.0,8.3
33,4,9,32,1.76,0.0,5.5
39,2,16,53,1.9609999999999999,0.0,3.7
32,1,10,42,3.822,0.0,9.1
46,1,9,72,3.5999999999999996,0.0,5.0
32,2,3,47,0.8929999999999999,0.0,1.9
28,2,5,25,0.7249999999999999,0.0,2.9
26,1,2,21,4.1579999999999995,0.0,19.8
27,1,0,16,0.272,0.0,1.7
35,1,16,36,1.224,0.0,3.4
35,1,16,57,5.984999999999999,0.0,10.5
31,2,6,25,2.875,0.0,11.5
32,3,5,23,1.0350000000000001,0.0,4.5
29,1,9,25,3.4749999999999996,0.0,13.9
35,4,4,29,3.1900000000000004,0.0,11.0
48,2,21,86,1.0319999999999998,0.0,1.2
24,1,4,19,2.09,0.0,11.0
44,1,12,31,3.007,0.0,9.7
40,2,5,35,5.74,1.0,16.4
36,2,13,41,6.724,1.0,16.4
23,2,0,21,1.8270000000000002,0.0,8.7
26,2,8,40,4.72,0.0,11.8
30,1,8,23,2.76,0.0,12.0
34,1,12,68,17.067999999999998,1.0,25.1
28,3,2,30,5.970000000000001,0.0,19.9
37,1,18,58,5.974,0.0,10.3
46,3,3,43,5.676,1.0,13.2
24,2,1,42,2.394,0.0,5.7
25,2,6,26,1.1700000000000002,0.0,4.5
33,1,14,37,0.962,0.0,2.6
46,1,7,41,9.594000000000001,0.0,23.4
38,3,4,31,2.883,1.0,9.3
47,1,3,21,3.2340000000000004,0.0,15.4
34,2,9,65,4.03,0.0,6.2
35,1,16,37,6.364,0.0,17.2
39,1,22,113,2.938,0.0,2.6
44,1,24,101,5.656000000000001,0.0,5.6
28,2,1,24,4.104,1.0,17.1
31,3,9,59,8.613999999999999,1.0,14.6
24,1,1,20,0.8200000000000001,0.0,4.1
36,3,13,39,7.488,0.0,19.2
35,2,14,82,0.6559999999999999,0.0,0.8
31,1,11,47,5.122999999999999,0.0,10.9
28,2,6,22,2.53,0.0,11.5
36,4,8,32,0.512,0.0,1.6
31,3,6,54,1.512,0.0,2.8
30,1,11,27,0.24299999999999988,0.0,0.9
26,1,10,24,0.648,0.0,2.7
48,4,3,45,4.41,0.0,9.8
39,2,16,89,12.727,0.0,14.3
31,1,7,20,2.4600000000000004,0.0,12.3
31,3,9,28,0.728,0.0,2.6
27,3,3,45,4.95,1.0,11.0
31,1,13,27,1.35,0.0,5.0
53,1,0,27,7.803000000000001,1.0,28.9
40,1,15,55,3.025,0.0,5.5
26,1,7,22,1.122,0.0,5.1
29,2,5,36,4.464,1.0,12.4
52,1,19,89,4.183,0.0,4.7
39,2,2,46,7.359999999999999,1.0,16.0
33,2,13,40,2.88,0.0,7.2
24,1,7,21,1.323,0.0,6.3
47,1,29,129,32.637,1.0,25.3
41,3,2,15,3.9450000000000003,1.0,26.3
26,2,6,45,11.7,0.0,26.0
48,1,3,24,1.6800000000000002,0.0,7.0
37,1,13,24,2.136,0.0,8.9
37,1,20,41,5.289,0.0,12.9
46,4,7,73,0.803,0.0,1.1
30,1,8,27,5.481,0.0,20.3
47,1,15,30,7.35,0.0,24.5
37,3,16,75,0.075,0.0,0.1
37,2,0,31,0.279,1.0,0.9
40,2,15,73,2.482,0.0,3.4
35,3,5,30,3.1799999999999997,0.0,10.6
21,2,0,16,1.0879999999999999,0.0,6.8
52,1,24,64,6.4,0.0,10.0
47,3,16,221,38.896,1.0,17.6
41,3,0,26,0.44199999999999995,0.0,1.7
47,1,27,113,10.396,0.0,9.2
38,2,0,21,0.966,0.0,4.6
22,3,1,25,3.45,1.0,13.8
39,1,8,21,0.84,0.0,4.0
45,1,8,27,0.702,0.0,2.6
51,1,10,44,5.808,1.0,13.2
33,2,10,26,0.806,0.0,3.1
43,1,25,242,6.292000000000001,0.0,2.6
40,1,22,95,3.42,0.0,3.6
27,4,2,23,1.311,1.0,5.7
31,1,11,25,2.275,0.0,9.1
34,1,10,48,2.4480000000000004,0.0,5.1
37,1,9,57,3.135,0.0,5.5
44,4,18,78,0.7799999999999999,0.0,1.0
42,1,3,24,2.544,0.0,10.6
25,1,3,16,2.848,1.0,17.8
39,2,7,68,8.839999999999998,1.0,13.0
26,4,1,64,14.911999999999999,0.0,23.3
36,1,19,45,5.445,0.0,12.1
48,1,15,60,1.26,0.0,2.1
21,2,0,21,2.625,1.0,12.5
40,3,17,116,6.960000000000001,0.0,6.0
31,2,9,30,1.7399999999999998,0.0,5.8
23,4,0,23,1.541,0.0,6.7
31,1,6,21,1.743,0.0,8.3
31,1,7,23,1.127,0.0,4.9
50,3,18,102,14.382,0.0,14.1
29,1,1,31,2.48,0.0,8.0
37,3,5,29,7.134,0.0,24.6
46,1,16,52,6.708,1.0,12.9
39,1,9,35,1.75,0.0,5.0
34,1,14,28,4.76,0.0,17.0
27,1,11,56,9.463999999999999,0.0,16.9
23,1,6,15,1.905,0.0,12.7
41,1,24,83,11.620000000000001,0.0,14.0
29,1,1,18,0.198,0.0,1.1
44,1,19,40,4.36,0.0,10.9
24,2,0,15,2.415,1.0,16.1
32,3,9,51,11.73,0.0,23.0
23,2,3,34,1.496,0.0,4.4
31,1,4,28,3.164,0.0,11.3
36,1,15,39,1.248,0.0,3.2
25,1,3,31,2.5109999999999997,0.0,8.1
26,1,10,32,1.504,0.0,4.7
43,1,4,26,1.8459999999999999,0.0,7.1
47,1,29,169,3.718,0.0,2.2
43,1,10,69,4.4159999999999995,0.0,6.4
37,1,18,54,6.534,0.0,12.1
35,4,10,45,3.825,0.0,8.5
28,4,1,26,3.224,0.0,12.4
28,1,8,30,2.16,0.0,7.2
26,3,2,37,5.2540000000000004,0.0,14.2
39,1,10,31,1.4880000000000002,0.0,4.8
34,2,3,21,4.851,0.0,23.1
51,3,16,82,3.6079999999999997,0.0,4.4
28,2,3,41,10.291,1.0,25.1
39,1,20,39,3.198,0.0,8.2
23,1,3,19,1.5959999999999999,1.0,8.4
23,1,3,13,0.40299999999999997,0.0,3.1
21,1,4,26,2.314,0.0,8.9
40,1,3,23,1.587,0.0,6.9
26,4,1,92,11.96,0.0,13.0
32,2,12,54,7.776,0.0,14.4
29,3,3,50,1.2,1.0,2.4
43,1,25,64,10.688,0.0,16.7
55,1,3,40,3.2,1.0,8.0
30,1,12,40,2.8,0.0,7.0
38,3,15,63,8.442,0.0,13.4
40,1,2,28,1.988,0.0,7.1
43,1,12,38,1.368,0.0,3.6
35,2,1,24,3.0,1.0,12.5
24,1,8,24,1.2,0.0,5.0
35,1,11,40,1.1600000000000001,0.0,2.9
39,2,18,47,3.572,0.0,7.6
41,2,5,25,2.55,0.0,10.2
28,1,2,17,0.42499999999999993,1.0,2.5
24,2,2,28,4.843999999999999,1.0,17.3
40,3,3,55,9.075,1.0,16.5
29,1,8,27,2.6460000000000004,0.0,9.8
26,2,4,28,2.66,0.0,9.5
27,1,5,26,0.312,0.0,1.2
50,1,30,150,48.75,0.0,32.5
41,1,15,120,3.4799999999999995,0.0,2.9
26,1,0,14,1.47,0.0,10.5
48,1,22,100,9.1,0.0,9.1
35,2,1,24,1.872,0.0,7.8
35,1,15,77,8.162,0.0,10.6
23,1,7,31,2.0460000000000003,0.0,6.6
39,2,20,101,1.414,0.0,1.4
38,1,21,58,9.57,0.0,16.5
30,1,4,33,1.386,0.0,4.2
44,2,8,43,2.15,0.0,5.0
33,1,0,23,0.20700000000000002,0.0,0.9
34,1,15,39,9.633,1.0,24.7
27,2,6,34,1.496,0.0,4.4
30,1,1,22,2.31,0.0,10.5
27,2,1,20,2.06,1.0,10.3
29,1,9,30,2.46,0.0,8.2
25,4,1,34,2.89,1.0,8.5
41,1,23,91,12.467,0.0,13.7
42,2,11,73,4.964,0.0,6.8
38,3,12,64,3.712,0.0,5.8
23,1,5,17,1.343,0.0,7.9
33,1,2,24,2.304,0.0,9.6
31,1,2,22,3.608,1.0,16.4
37,2,6,62,5.27,0.0,8.5
40,1,10,45,8.46,0.0,18.8
31,1,3,16,5.168,0.0,32.3
35,2,3,40,6.88,1.0,17.2
38,1,6,41,3.649,0.0,8.9
30,2,8,56,3.584,0.0,6.4
30,1,1,17,1.87,0.0,11.0
44,1,2,22,2.112,0.0,9.6
29,2,3,15,0.39,0.0,2.6
39,1,19,45,1.665,0.0,3.7
26,1,0,17,0.85,0.0,5.0
36,1,5,27,1.8900000000000001,0.0,7.0
31,2,0,27,3.456,1.0,12.8
38,2,12,40,2.04,0.0,5.1
38,1,0,23,1.863,1.0,8.1
41,3,13,91,22.932,1.0,25.2
41,2,2,30,2.0100000000000002,0.0,6.7
45,3,5,94,9.87,1.0,10.5
24,1,4,23,1.127,0.0,4.9
22,1,4,16,0.192,0.0,1.2
34,1,13,56,3.4160000000000004,0.0,6.1
25,1,0,18,3.402,1.0,18.9
29,2,6,18,0.9179999999999999,1.0,5.1
35,2,13,105,1.995,0.0,1.9
39,1,19,48,6.288,0.0,13.1
34,1,17,59,4.72,0.0,8.0
44,2,21,113,14.916,0.0,13.2
23,2,0,21,2.394,1.0,11.4
46,1,6,31,3.782,0.0,12.2
41,4,9,47,2.35,0.0,5.0
52,1,9,24,4.6080000000000005,1.0,19.2
23,1,1,17,0.272,0.0,1.6
48,1,28,70,8.399999999999999,0.0,12.0
35,1,10,24,5.112,0.0,21.3
53,2,16,44,2.4640000000000004,0.0,5.6
39,3,11,39,5.031000000000001,0.0,12.9
37,1,20,56,1.064,0.0,1.9
34,1,12,32,0.864,0.0,2.7
49,2,2,20,3.3800000000000003,1.0,16.9
39,1,23,75,14.175,0.0,18.9
42,2,7,41,1.886,0.0,4.6
28,2,1,16,2.352,0.0,14.7
27,3,5,75,4.725,0.0,6.3
24,1,2,21,0.1259999999999999,0.0,0.6
34,1,5,33,2.409,0.0,7.3
47,1,31,136,31.415999999999997,1.0,23.1
26,4,1,27,0.7829999999999999,0.0,2.9
35,1,17,42,1.26,0.0,3.0
31,1,6,33,1.386,0.0,4.2
29,1,13,27,0.621,0.0,2.3
44,1,9,33,1.716,0.0,5.2
40,2,13,102,19.278,1.0,18.9
36,4,1,30,3.45,0.0,11.5
32,3,6,22,1.474,0.0,6.7
21,1,1,18,3.114,0.0,17.3
42,4,15,186,6.696,0.0,3.6
37,2,4,20,4.340000000000001,1.0,21.7
24,1,6,21,1.092,0.0,5.2
24,4,0,29,1.9140000000000001,1.0,6.6
46,3,4,73,3.942,0.0,5.4
28,1,2,16,2.432,0.0,15.2
41,1,16,68,3.672,0.0,5.4
46,5,15,126,3.9059999999999997,0.0,3.1
51,2,22,120,9.120000000000001,0.0,7.6
36,1,17,54,2.376,0.0,4.4
25,1,1,20,1.3399999999999999,1.0,6.7
27,2,3,33,4.356,0.0,13.2
43,1,23,72,5.4719999999999995,0.0,7.6
53,1,6,27,1.7279999999999998,1.0,6.4
32,1,4,16,4.56,1.0,28.5
36,1,0,25,4.925,0.0,19.7
29,2,9,30,6.51,0.0,21.7
35,1,18,42,3.108,0.0,7.4
32,2,0,18,1.044,1.0,5.8
25,2,1,14,1.3860000000000001,0.0,9.9
42,1,2,30,2.91,0.0,9.7
25,1,9,20,0.7,0.0,3.5
20,3,0,17,0.39099999999999996,0.0,2.3
50,1,4,23,2.875,0.0,12.5
46,2,22,144,15.984000000000002,0.0,11.1
33,1,15,32,2.432,0.0,7.6
43,1,19,79,5.925,0.0,7.5
30,2,4,21,3.8430000000000004,0.0,18.3
34,1,3,36,1.6920000000000002,0.0,4.7
37,1,3,25,0.925,0.0,3.7
38,1,4,19,2.584,0.0,13.6
32,2,11,57,13.565999999999999,1.0,23.8
39,1,15,39,0.7020000000000001,0.0,1.8
31,1,7,41,12.587,1.0,30.7
25,1,5,22,2.398,0.0,10.9
31,2,12,44,4.224,0.0,9.6
29,2,0,23,1.8399999999999999,0.0,8.0
45,2,21,132,3.96,0.0,3.0
39,1,4,38,2.4699999999999998,0.0,6.5
34,1,4,23,1.2879999999999998,0.0,5.6
24,2,3,24,4.584,0.0,19.1
30,1,10,19,0.8360000000000001,0.0,4.4
30,1,0,19,3.154,1.0,16.6
27,1,0,18,2.3040000000000003,0.0,12.8
31,1,5,25,3.5250000000000004,0.0,14.1
47,3,9,52,10.452000000000002,1.0,20.1
47,2,4,33,2.343,1.0,7.1
45,2,15,51,9.231,0.0,18.1
31,4,7,97,5.82,0.0,6.0
45,1,7,29,1.7690000000000001,0.0,6.1
29,1,12,40,2.6799999999999997,0.0,6.7
36,2,12,60,4.74,0.0,7.9
29,2,10,44,7.964,0.0,18.1
39,1,2,22,5.082000000000001,1.0,23.1
22,2,0,35,3.1500000000000004,1.0,9.0
46,1,14,35,3.5700000000000003,0.0,10.2
38,1,21,65,10.92,0.0,16.8
37,1,1,24,3.6239999999999997,1.0,15.1
42,1,12,51,10.914000000000001,0.0,21.4
36,1,4,25,1.0,0.0,4.0
34,1,18,53,5.5649999999999995,0.0,10.5
38,3,12,63,10.08,1.0,16.0
27,1,11,21,2.394,0.0,11.4
35,2,9,30,2.28,0.0,7.6
48,1,10,70,19.740000000000002,0.0,28.2
45,2,18,35,6.090000000000001,0.0,17.4
43,1,4,29,1.3339999999999999,0.0,4.6
54,1,9,28,4.144,1.0,14.8
35,3,7,38,5.738,0.0,15.1
28,1,4,19,0.7789999999999999,0.0,4.1
39,1,16,52,10.4,0.0,20.0
43,1,8,32,6.08,0.0,19.0
32,2,2,15,1.365,1.0,9.1
22,3,0,18,1.3860000000000001,0.0,7.7
41,3,18,71,11.147,1.0,15.7
34,2,4,25,1.45,0.0,5.8
34,2,9,27,0.45899999999999985,0.0,1.7
31,1,1,24,1.08,0.0,4.5
55,1,19,78,12.168,0.0,15.6
40,1,21,46,2.852,0.0,6.2
41,1,13,44,0.748,0.0,1.7
43,2,10,37,3.1449999999999996,0.0,8.5
36,1,6,26,2.158,0.0,8.3
51,2,31,249,19.421999999999997,0.0,7.8
40,1,17,55,6.27,0.0,11.4
27,3,5,42,8.358,1.0,19.9
36,2,11,49,0.637,0.0,1.3
38,1,5,54,5.724,0.0,10.6
47,1,17,43,2.408,0.0,5.6
33,1,13,42,1.512,0.0,3.6
41,3,12,86,22.79,1.0,26.5
33,1,9,29,4.002,1.0,13.8
21,3,0,26,2.002,0.0,7.7
34,1,0,21,1.512,0.0,7.2
51,2,27,166,19.09,0.0,11.5
36,2,0,30,2.91,0.0,9.7
23,2,0,17,4.709,1.0,27.7
34,1,4,28,2.632,0.0,9.4
29,1,7,22,2.1340000000000003,0.0,9.7
46,3,9,60,9.181,0.0,15.3
45,3,2,39,1.9109999999999998,0.0,4.9
41,3,17,176,16.368000000000002,1.0,9.3
28,1,4,16,3.8080000000000003,0.0,23.8
37,1,6,29,4.727,0.0,16.3
25,1,8,35,1.015,0.0,2.9
48,3,0,19,2.052,0.0,10.8
37,3,12,83,3.403,0.0,4.1
32,1,3,23,1.4260000000000002,0.0,6.2
31,1,15,60,2.88,0.0,4.8
48,4,14,59,9.735,1.0,16.5
45,1,22,91,10.647,0.0,11.7
41,2,6,36,5.004,0.0,13.9
39,1,19,46,4.186,0.0,9.1
41,1,19,96,7.4879999999999995,0.0,7.8
50,2,15,60,0.6599999999999999,0.0,1.1
22,3,0,23,1.9320000000000002,1.0,8.4
43,2,6,54,5.184,0.0,9.6
33,1,8,27,1.566,0.0,5.8
29,1,11,32,1.92,0.0,6.0
24,1,3,21,6.069,1.0,28.9
27,1,6,52,7.176,0.0,13.8
37,4,1,33,5.313000000000001,1.0,16.1
34,2,8,78,4.212,0.0,5.4
22,1,1,17,3.162,0.0,18.6
41,1,4,25,2.524,0.0,10.1
32,2,7,32,1.376,0.0,4.3
35,1,15,40,7.4,0.0,18.5
41,1,24,100,11.5,0.0,11.5
21,2,1,16,2.88,1.0,18.0
23,1,2,25,1.125,1.0,4.5
25,1,6,22,4.444,0.0,20.2
40,1,12,89,15.486,0.0,17.4
38,1,11,35,2.8,0.0,8.0
49,2,14,63,9.954,0.0,15.8
40,1,13,28,1.6520000000000001,0.0,5.9
29,2,1,25,2.6,0.0,10.4
25,1,3,18,2.9339999999999997,1.0,16.3
33,1,14,72,29.735999999999997,1.0,41.3
37,2,11,47,4.5120000000000005,0.0,9.6
24,1,1,18,1.0619999999999998,1.0,5.9
29,2,4,37,2.4419999999999997,1.0,6.6
28,2,0,29,3.857,1.0,13.3
37,2,15,108,12.744,0.0,11.8
47,2,27,107,6.526999999999999,0.0,6.1
31,2,2,26,1.768,1.0,6.8
28,3,5,44,3.8280000000000003,0.0,8.7
39,2,15,32,1.5679999999999998,0.0,4.9
33,2,2,35,8.015,1.0,22.9
41,2,19,68,3.944,0.0,5.8
29,2,1,29,6.148,1.0,21.2
31,1,2,22,2.794,1.0,12.7
28,4,0,38,3.9520000000000004,0.0,10.4
35,1,0,34,3.774,1.0,11.1
54,1,25,120,31.799999999999997,1.0,26.5
39,1,19,53,1.9609999999999999,0.0,3.7
46,1,9,31,4.2780000000000005,0.0,13.8
23,2,3,22,2.508,1.0,11.4
28,2,6,38,2.7359999999999998,0.0,7.2
24,1,3,15,1.695,1.0,11.3
41,2,7,63,9.702,0.0,15.4
43,2,9,60,12.24,1.0,20.4
27,3,3,35,4.654999999999999,0.0,13.3
33,4,4,22,1.21,0.0,5.5
28,1,2,18,2.664,1.0,14.8
48,1,13,38,4.104,0.0,10.8
35,3,1,20,1.58,0.0,7.9
31,1,11,28,1.3439999999999999,1.0,4.8
42,2,14,48,4.128,1.0,8.6
29,1,1,18,4.608,1.0,25.6
36,1,4,17,2.941,0.0,17.3
29,1,4,24,1.8719999999999999,0.0,7.8
31,1,12,31,7.3469999999999995,0.0,23.7
43,4,18,446,28.99,1.0,6.5
41,2,13,93,13.671,0.0,14.7
31,1,9,28,0.672,0.0,2.4
31,1,6,45,3.285,0.0,7.3
28,2,2,23,1.472,1.0,6.4
35,1,7,29,1.421,0.0,4.9
38,1,5,21,1.89,0.0,9.0
40,1,14,43,6.45,1.0,15.0
39,1,20,116,4.756,0.0,4.1
38,2,8,38,0.22799999999999981,0.0,0.6
27,3,4,40,1.24,1.0,3.1
49,1,11,39,3.939,0.0,10.1
38,1,18,45,3.1500000000000004,0.0,7.0
43,1,16,89,0.35599999999999987,0.0,0.4
36,2,9,49,4.214,1.0,8.6
37,1,4,23,2.852,0.0,12.4
46,3,22,99,2.277,0.0,2.3
22,2,0,20,1.12,0.0,5.6
47,1,13,51,12.137999999999998,0.0,23.8
47,3,16,266,5.32,0.0,2.0
30,4,2,25,2.5,0.0,10.0
51,2,19,159,4.452,0.0,2.8
28,1,10,42,3.612,0.0,8.6
50,1,6,21,2.7089999999999996,0.0,12.9
43,1,24,254,19.558,0.0,7.7
46,2,9,15,0.645,0.0,4.3
29,1,7,20,3.96,1.0,19.8
26,1,1,21,1.029,0.0,4.9
45,1,14,46,2.346,0.0,5.1
39,1,22,52,1.6640000000000001,0.0,3.2
30,2,10,22,3.542,0.0,16.1
41,3,7,56,8.120000000000001,1.0,14.5
25,2,4,27,1.3499999999999999,1.0,5.0
34,1,16,48,3.6479999999999997,0.0,7.6
44,3,7,78,8.19,0.0,10.5
25,1,4,23,1.196,0.0,5.2
39,1,20,67,20.502,0.0,30.6
26,1,4,20,1.0799999999999998,0.0,5.4
31,1,8,41,5.166,0.0,12.6
40,3,5,220,35.2,1.0,16.0
42,1,6,31,3.596,0.0,11.6
23,1,1,21,1.7639999999999998,1.0,8.4
34,1,9,48,4.4639999999999995,0.0,9.3
28,4,0,29,7.018,0.0,24.2
29,1,6,21,3.801,0.0,18.1
29,2,3,26,1.5859999999999999,1.0,6.1
24,2,2,26,2.522,1.0,9.7
53,1,9,50,5.6,1.0,11.2
39,1,19,60,16.26,1.0,27.1
28,4,2,41,1.025,1.0,2.5
38,1,16,37,3.1820000000000004,0.0,8.6
39,1,12,46,2.3000000000000003,0.0,5.0
38,1,18,44,1.98,0.0,4.5
34,4,6,27,9.530999999999999,1.0,35.3
31,1,11,45,7.65,0.0,17.0
40,1,2,32,1.1840000000000002,0.0,3.7
32,1,8,26,1.066,0.0,4.1
35,2,12,64,9.6,0.0,15.0
29,2,3,32,2.88,0.0,9.0
44,2,12,86,11.18,0.0,13.0
48,2,9,44,2.596,0.0,5.9
41,2,6,36,7.02,1.0,19.5
28,1,0,28,9.324,1.0,33.3
29,1,3,23,2.1390000000000002,0.0,9.3
24,1,1,16,1.152,0.0,7.2
25,1,9,18,0.216,0.0,1.2
43,2,16,83,3.403,0.0,4.1
45,1,12,37,3.5150000000000006,0.0,9.5
35,1,13,35,1.575,0.0,4.5
34,1,13,51,4.896000000000001,0.0,9.6
29,1,2,14,2.016,1.0,14.4
32,2,11,75,17.474999999999998,1.0,23.3
27,3,6,26,2.704,0.0,10.4
39,1,16,57,11.058,0.0,19.4
37,4,2,29,4.466,0.0,15.4
31,4,1,29,3.219,0.0,11.1
28,1,4,28,3.976,1.0,14.2
27,2,8,38,2.622,0.0,6.9
31,1,8,27,1.4580000000000002,0.0,5.4
31,1,9,26,1.17,0.0,4.5
32,1,0,20,0.6000000000000001,1.0,3.0
29,2,9,36,0.504,0.0,1.4
31,2,9,53,7.155,0.0,13.5
32,2,5,43,6.45,1.0,15.0
39,1,6,42,8.358,1.0,19.9
27,2,7,30,1.2,1.0,4.0
29,1,13,42,3.108,1.0,7.4
31,1,11,34,2.312,0.0,6.8
41,2,22,75,17.7,0.0,23.6
30,1,1,27,3.3209999999999997,0.0,12.3
35,2,0,22,3.3,1.0,15.0
38,2,2,22,4.994,1.0,22.7
29,1,1,17,1.139,0.0,6.7
37,1,7,32,6.272,0.0,19.6
26,1,8,25,1.175,0.0,4.7
27,1,0,16,0.176,0.0,1.1
42,2,18,66,6.336,0.0,9.6
45,3,8,140,19.46,0.0,13.9
51,4,15,26,3.536,0.0,13.6
36,1,10,28,3.136,1.0,11.2
48,1,17,66,2.112,0.0,3.2
45,1,10,52,2.808,0.0,5.4
47,1,16,110,13.86,0.0,12.6
26,1,6,22,2.266,0.0,10.3
35,1,12,30,4.62,0.0,15.4
50,3,10,80,9.760000000000002,0.0,12.2
30,1,11,33,2.772,0.0,8.4
49,2,22,79,5.767,0.0,7.3
36,1,1,16,1.488,0.0,9.3
24,2,3,19,0.817,0.0,4.3
42,5,6,190,14.82,0.0,7.8
28,2,0,30,1.44,1.0,4.8
52,2,12,76,5.852,0.0,7.7
39,2,9,56,10.472000000000001,0.0,18.7
40,2,15,138,5.6579999999999995,0.0,4.1
29,2,0,22,2.838,1.0,12.9
40,1,8,28,1.008,0.0,3.6
27,1,10,34,2.21,0.0,6.5
24,3,2,16,1.024,1.0,6.4
26,2,5,28,2.184,0.0,7.8
